,komoditas,berat
0,"['lele', 'bawal', 'nila']", 6   1   1 
1,"['kakap', 'lele', 'kembung', 'tongkol', 'salem']", 2   1   1   1   1 
2,"['nila', 'kakap', 'lele', 'bawal', 'kembung', 'salam']", 1    2 
3,"['nila', 'kembung', 'tongkol', 'lele', 'bawal']", 1   2   5   2   3 
4,"['lele', 'kerapu', 'mas', 'pindang', 'tongkol', 'gurame']", 1 
5,"['patin', 'mas', 'kembung']",rata rata 1 
6,"['patin', 'kembung', 'lele', 'tongkol', 'bandeng']", 1  
7,"['mas', 'kembung', 'lele', 'tongkol']", 1 
8,['lele'],3 
9,['kembung'],kadang 1  kadang kurang
10,"['lele', 'mas', 'tongkol', 'kembung', 'bandeng', 'patin']",kurang dari 1 
11,"['patin', 'bandeng', 'kembung']", 1 
12,"['mas', 'nila/jaer', 'patin', 'tongkol', 'kembung']", 1 
13,"['lele', 'patin', 'kembung', 'tongkol', 'bandeng']",kurang lebih 1 
14,"['mujaer', 'mas']",1 
15,"['lele', 'mas', 'bandeng', 'tongkol', 'patin']", 1 
16,"['tongkol', 'salem', 'lele', 'mujaer', 'kakap']", 1 
17,"['tongkol', 'bawal', 'salem', 'mujair', 'kembung', 'kakap']", 1 
18,"['tongkol', 'peda']",kurang dari 1 
19,"['mujaer', 'lele', 'kembung']",kurang dari 1 
20,"['kembung', 'kepala', 'kakap', 'tongkol']",kurang dari 1 
21,"['lele', 'dan', 'nila']", 3   2  
22,"['gurame', 'kakap', 'kerapu', 'bawal']",8  
23,['lele'],5 
24,['lele'],5 
25,['lele'],4-5 
26,['lele'],2  
27,['lele'],gak tau kata pegawai nya
28,['lele'],4 
29,['lele'],5-6  
30,['lele'],5 
31,['lele'],5 
32,['lele'],2 sampai 3  
33,"['pindang', 'bandeng', 'lele', 'mas']", kurang dari 1 
34,"['kembung', 'lele', 'patin', 'kakap', 'salem']", 1 
35,['lele'],4 sampe 5 
36,['lele'],4 atau 3 
37,['lele'],4 sampe 5 
38,['nila'],1 
39,['lele'],3 
40,"['lele', 'nila', 'patin']",kurang dari 1 
41,"['lele', 'mas']",kurang 1 
42,['lele'],4 sampe 5 
43,['lele'],4 sampe 5 
44,['lele'],3  
45,['lele'],4 
46,['lele'],3 sampe 4 
47,"['lele', 'patin', 'kembung', 'kakap', 'bawal']",rata 1    2 
48,"['lele', 'nila', 'kembung', 'tongkol']", 2  
49,"['mas', 'nila', 'tongkol', 'kembung']",kurang dari sekilo rata rata 
50,"['kembung', 'kakap', 'tongkol', 'mujaer/nila', 'lele', 'mas']",rata rata 1 
51,['lele'],3 
52,['lele'],2 sampe 3  
